seed,model_label,model_group,run_dir,default_threshold,tuned_threshold,runtime_minutes,score_type,default_accuracy,default_fraud_precision,default_fraud_recall,default_fraud_f1,default_macro_f1,default_balanced_accuracy,default_specificity,default_roc_auc,default_pr_auc,default_tn,default_fp,default_fn,default_tp,tuned_accuracy,tuned_fraud_precision,tuned_fraud_recall,tuned_fraud_f1,tuned_macro_f1,tuned_balanced_accuracy,tuned_specificity,tuned_roc_auc,tuned_pr_auc,tuned_tn,tuned_fp,tuned_fn,tuned_tp,tuned_validation_selected_threshold,tuned_validation_fraud_f1_at_threshold
42,TFIDF_LogReg,classical_baseline,/content/artifacts/runs/seed_42/tfidf_logreg,0.5,0.59,0.25620686610539756,probability,0.9865771812080537,0.8405797101449275,0.8923076923076924,0.8656716417910447,0.9293036387919117,0.94184350132626,0.9913793103448276,0.9891457680250784,0.931170879689931,2530,22,14,116,0.988441461595824,0.9024390243902439,0.8538461538461538,0.8774703557312253,0.9357025032422512,0.9245719797443935,0.9952978056426333,0.9891457680250784,0.931170879689931,2540,12,19,111,0.59,0.8571428571428571
42,TFIDF_LinearSVM,classical_baseline,/content/artifacts/runs/seed_42/tfidf_linearsvm,0.0,0.0,0.2611666560173035,decision_function,0.9925428784489188,0.9661016949152542,0.8769230769230769,0.9193548387096774,0.9577227672829075,0.9376778394019774,0.9984326018808778,0.9910869303110682,0.9479065357195365,2548,4,16,114,0.9925428784489188,0.9661016949152542,0.8769230769230769,0.9193548387096774,0.9577227672829075,0.9376778394019774,0.9984326018808778,0.9910869303110682,0.9479065357195365,2548,4,16,114,0.0,0.8861788617886179
42,BERT,transformer,/content/artifacts/runs/seed_42/bert,0.5,0.72,27.204614770412444,probability,0.9903057419835943,0.9482758620689655,0.8461538461538461,0.8943089430894309,0.9446144168358448,0.9219013744875814,0.9976489028213166,0.991976127320955,0.9441551819977962,2546,6,20,110,0.9899328859060402,0.9557522123893806,0.8307692307692308,0.8888888888888888,0.9418082405780122,0.914404991560164,0.9980407523510971,0.991976127320955,0.9441551819977962,2547,5,22,108,0.72,0.8806584362139918
42,ALBERT,transformer,/content/artifacts/runs/seed_42/albert,0.5,0.23,32.49690850973129,probability,0.9880686055182699,0.9537037037037037,0.7923076923076923,0.865546218487395,0.9296517670665614,0.8951742223293947,0.9980407523510971,0.9904253074511695,0.9148337027737272,2547,5,27,103,0.9869500372856077,0.9203539823008849,0.8,0.8559670781893004,0.924566237786312,0.8982366771159875,0.9964733542319749,0.9904253074511695,0.9148337027737272,2543,9,26,104,0.23,0.8616600790513834
42,RoBERTa,transformer,/content/artifacts/runs/seed_42/roberta,0.5,0.21,28.55098329782486,probability,0.9869500372856077,0.8740157480314961,0.8538461538461538,0.8638132295719845,0.92847994550853,0.9237882806848323,0.9937304075235109,0.9929060163973957,0.9315047456474829,2536,16,19,111,0.9873228933631618,0.8692307692307693,0.8692307692307693,0.8692307692307693,0.9312846636122498,0.9312846636122498,0.9933385579937304,0.9929060163973957,0.9315047456474829,2535,17,17,113,0.21,0.8604651162790697
123,TFIDF_LogReg,classical_baseline,/content/artifacts/runs/seed_123/tfidf_logreg,0.5,0.53,0.2950160543123881,probability,0.9847129008202834,0.8345864661654135,0.8538461538461538,0.844106463878327,0.9180344120999162,0.9226127320954907,0.9913793103448276,0.988663491680733,0.9143070310976784,2530,22,19,111,0.9850857568978374,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9191584277791174,0.9191584277791174,0.9921630094043887,0.988663491680733,0.9143070310976784,2532,20,20,110,0.53,0.84
123,TFIDF_LinearSVM,classical_baseline,/content/artifacts/runs/seed_123/tfidf_linearsvm,0.0,-0.03252485467300007,0.29597565333048503,decision_function,0.988441461595824,0.9541284403669725,0.8,0.8702928870292888,0.9321220532707419,0.8990203761755486,0.9980407523510971,0.9888684591270798,0.9312127338861124,2547,5,26,104,0.9880686055182699,0.9375,0.8076923076923077,0.8677685950413223,0.9307605177471352,0.9024746804919219,0.997257053291536,0.9888684591270798,0.9312127338861124,2545,7,25,105,-0.03252485467300007,0.865546218487395
123,BERT,transformer,/content/artifacts/runs/seed_123/bert,0.5,0.33,29.026347104708353,probability,0.9858314690529456,0.9107142857142857,0.7846153846153846,0.8429752066115702,0.917778114824723,0.8903484446587895,0.9960815047021944,0.9862129250060284,0.901447002116374,2542,10,28,102,0.9858314690529456,0.9107142857142857,0.7846153846153846,0.8429752066115702,0.917778114824723,0.8903484446587895,0.9960815047021944,0.9862129250060284,0.901447002116374,2542,10,28,102,0.33,0.8879668049792531
123,ALBERT,transformer,/content/artifacts/runs/seed_123/albert,0.5,0.9,32.77015504042308,probability,0.9813571961222968,0.8571428571428571,0.7384615384615385,0.7933884297520661,0.8918133089798987,0.8660959729925247,0.9937304075235109,0.9698607427055703,0.8730637169111909,2536,16,34,96,0.9813571961222968,0.8773584905660378,0.7153846153846154,0.788135593220339,0.8891926016023692,0.855145285748734,0.9949059561128527,0.9698607427055703,0.8730637169111909,2539,13,37,93,0.9,0.8360655737704918
123,RoBERTa,transformer,/content/artifacts/runs/seed_123/roberta,0.5,0.18,21.934261775016786,probability,0.9835943325876212,0.864406779661017,0.7846153846153846,0.8225806451612904,0.9069900880223966,0.8891728960694478,0.9937304075235109,0.9794565348444659,0.8832813524017602,2536,16,28,102,0.9817300521998509,0.824,0.7923076923076923,0.807843137254902,0.8991261096335187,0.89184350132626,0.9913793103448276,0.9794565348444659,0.8832813524017602,2530,22,27,103,0.18,0.8705882352941177
2024,TFIDF_LogReg,classical_baseline,/content/artifacts/runs/seed_2024/tfidf_logreg,0.5,0.56,0.2951377868652344,probability,0.9847129008202834,0.8068965517241379,0.9,0.850909090909091,0.9214262491291377,0.9445141065830721,0.9890282131661442,0.9930612490957319,0.9328019195834052,2524,28,13,117,0.9862043251304996,0.8394160583941606,0.8846153846153846,0.8614232209737828,0.9270820244558928,0.9379973474801061,0.9913793103448276,0.9930612490957319,0.9328019195834052,2530,22,15,115,0.56,0.842911877394636
2024,TFIDF_LinearSVM,classical_baseline,/content/artifacts/runs/seed_2024/tfidf_linearsvm,0.0,0.0,0.293940015633901,decision_function,0.9910514541387024,0.9491525423728814,0.8615384615384616,0.9032258064516129,0.949267320739489,0.9295936821798891,0.9976489028213166,0.9911110441282855,0.9557096915849183,2546,6,18,112,0.9910514541387024,0.9491525423728814,0.8615384615384616,0.9032258064516129,0.949267320739489,0.9295936821798891,0.9976489028213166,0.9911110441282855,0.9557096915849183,2546,6,18,112,0.0,0.875
2024,BERT,transformer,/content/artifacts/runs/seed_2024/bert,0.5,0.1,28.477171917756397,probability,0.9888143176733781,0.9385964912280702,0.823076923076923,0.8770491803278688,0.9355949026639344,0.9101669881842296,0.997257053291536,0.9901901977333012,0.9239014284200865,2545,7,23,107,0.9899328859060402,0.9327731092436975,0.8538461538461538,0.891566265060241,0.9431438363424371,0.9253556788039546,0.9968652037617555,0.9901901977333012,0.9239014284200865,2544,8,19,111,0.1,0.8816326530612245
2024,ALBERT,transformer,/content/artifacts/runs/seed_2024/albert,0.5,0.24,32.632742877801256,probability,0.9876957494407159,0.875968992248062,0.8692307692307693,0.8725868725868726,0.9330613109261494,0.9314805883771401,0.9937304075235109,0.9943106462503014,0.914082714818052,2536,16,17,113,0.9876957494407159,0.8646616541353384,0.8846153846153846,0.8745247148288974,0.9340276975438351,0.9387810465396672,0.9929467084639498,0.9943106462503014,0.914082714818052,2534,18,15,115,0.24,0.9061224489795918
2024,RoBERTa,transformer,/content/artifacts/runs/seed_2024/roberta,0.5,0.57,27.910631732145944,probability,0.988441461595824,0.9024390243902439,0.8538461538461538,0.8774703557312253,0.9357025032422512,0.9245719797443935,0.9952978056426333,0.9892437304075236,0.9170349353073519,2540,12,19,111,0.988441461595824,0.9024390243902439,0.8538461538461538,0.8774703557312253,0.9357025032422512,0.9245719797443935,0.9952978056426333,0.9892437304075236,0.9170349353073519,2540,12,19,111,0.57,0.8536585365853658
